seconds,mV,mV,mV
1.547,1.000,1.000,1.000
1.555,1.000,1.000,1.000
1.562,1.000,1.000,1.000
1.570,1.000,1.000,1.000
1.578,0.000,0.000,0.000
1.586,0.000,0.000,0.000
1.594,0.000,0.000,0.000
1.602,0.000,0.000,0.000
1.609,0.000,0.000,0.000
1.617,0.000,0.000,0.000
1.625,0.000,0.000,0.000
1.633,0.000,0.000,0.000
1.641,0.000,0.000,0.000
1.648,0.000,0.000,0.000
1.656,0.000,0.000,0.000
1.664,0.000,0.000,0.000
1.672,0.000,0.000,0.000
1.680,0.000,0.000,0.000
1.688,0.000,0.000,0.000
1.695,0.000,0.000,0.000
1.703,0.000,0.000,0.000
1.711,0.000,0.000,0.000
1.719,0.000,0.000,0.000
1.727,0.000,0.000,0.000
1.734,0.000,0.000,0.000
1.742,0.000,0.000,0.000
1.750,0.000,0.000,0.000
1.758,0.000,0.000,0.000
1.766,0.000,0.000,0.000
1.773,0.000,0.000,0.000
1.781,0.000,0.000,0.000
1.789,0.000,0.000,0.000
1.797,0.000,0.000,0.000
1.805,0.000,0.000,0.000
1.812,0.000,0.000,0.000
1.820,0.000,0.000,0.000
1.828,0.000,0.000,0.000
1.836,0.000,0.000,0.000
1.844,0.000,0.000,0.000
1.852,0.000,0.000,0.000
1.859,0.000,0.000,0.000
1.867,0.000,0.000,0.000
1.875,0.000,0.000,0.000
1.883,0.000,0.000,0.000
1.891,0.000,0.000,0.000
1.898,0.000,0.000,0.000
1.906,0.000,0.000,0.000
1.914,0.000,0.000,0.000
1.922,0.000,0.000,0.000
1.930,0.000,0.000,0.000
1.938,0.000,0.000,0.000
1.945,0.000,0.000,0.000
1.953,0.000,0.000,0.000
1.961,0.000,0.000,0.000
1.969,0.000,0.000,0.000
1.977,0.000,0.000,0.000
1.984,0.000,0.000,0.000
1.992,0.000,0.000,0.000
2.000,0.000,0.000,0.000
2.008,0.000,0.000,0.000
2.016,0.000,0.000,0.000
2.023,0.000,0.000,0.000
2.031,0.000,0.000,0.000
2.039,0.000,0.000,0.000
2.047,0.000,0.000,0.000
2.055,0.000,0.000,0.000
2.062,0.000,0.000,0.000
2.070,0.000,0.000,0.000
2.078,0.000,0.000,0.000
2.086,0.000,0.000,0.000
2.094,0.000,0.000,0.000
2.102,0.000,0.000,0.000
2.109,0.000,0.000,0.000
2.117,0.000,0.000,0.000
2.125,0.000,0.000,0.000
2.133,0.000,0.000,0.000
2.141,0.000,0.000,0.000
2.148,0.000,0.000,0.000
2.156,0.000,0.000,0.000
2.164,0.000,0.000,0.000
2.172,0.000,0.000,0.000
2.180,0.000,0.000,0.000
2.188,0.000,0.000,0.000
2.195,0.000,0.000,0.000
2.203,0.000,0.000,0.000
2.211,0.000,0.000,0.000
2.219,0.000,0.000,0.000
2.227,0.000,0.000,0.000
2.234,0.000,0.000,0.000
2.242,0.000,0.000,0.000
2.250,0.000,0.000,0.000
2.258,0.000,0.000,0.000
2.266,0.000,0.000,0.000
2.273,0.000,0.000,0.000
2.281,0.000,0.000,0.000
2.289,0.000,0.000,0.000
2.297,0.000,0.000,0.000
2.305,0.000,0.000,0.000
2.312,0.000,0.000,0.000
2.320,0.000,0.000,0.000
2.328,0.000,0.000,0.000
2.336,0.000,0.000,0.000
2.344,0.000,0.000,0.000
2.352,0.000,0.000,0.000
2.359,0.000,0.000,0.000
2.367,0.000,0.000,0.000
2.375,0.000,0.000,0.000
2.383,0.000,0.000,0.000
2.391,0.000,0.000,0.000
2.398,0.000,0.000,0.000
2.406,0.000,0.000,0.000
2.414,0.000,0.000,0.000
2.422,0.000,0.000,0.000
2.430,0.000,0.000,0.000
2.438,1.000,1.000,1.000
2.445,1.000,1.000,1.000
2.453,1.000,1.000,1.000
2.461,1.000,1.000,1.000
2.469,1.000,1.000,1.000
2.477,1.000,1.000,1.000
2.484,1.000,1.000,1.000
2.492,1.000,1.000,1.000
2.500,1.000,1.000,1.000
2.508,1.000,1.000,1.000
2.516,1.000,1.000,1.000
2.523,1.000,1.000,1.000
2.531,1.000,1.000,1.000
2.539,1.000,1.000,1.000
2.547,1.000,1.000,1.000
2.555,1.000,1.000,1.000
2.562,1.000,1.000,1.000
2.570,1.000,1.000,1.000
2.578,0.000,0.000,0.000
2.586,0.000,0.000,0.000
